title,project_description,keywords,gse,bioproject_id,bioproject_id_cohort,notes,timepoints,time_type,doses,human_disease,human_atlas,human_dataset,vaccine_type,pathogen_type,target_pathogen,target_antigen,viral_vector,adjuvanted,sample_source,administration_route,sequencing,organism_name
Transcriptome response of lung in response to vaccination of inactivated whole cells of A. baumannii,"We apply RNAseq of lung tissues to study the innate immune response to vaccination of inactivated whole cells of A. baumanni. Overall design: Rag1-/- mice were immunized intranasally with A. baumannii IWC and then challenged with a lethal dose of A. baumannii at day 7 after immunization. Lung samples were collected from  control mice, mice immunized with IWC at day 2,  day 7 after immunization with IWC,  A. baumanni infected mice at 24 hours post infection and IWC immunized mice at 7 day after A. baumannii challenge at 24 hours post infection.","Acinobacter baumannii, bacteria, lungs, intranasal, challenge",GSE141729,594534,,Vaccination and challenge,2//7//1,Day,,Yes,No,,Inactivated,bacteria,Acinobacter baumannii,Whole,NA,NA,Lung,Intranasal,Bulk,Mus musculus
Andes virus mRNA vaccines: comparison of unmodified and modified mRNA platforms [scRNA-seq],"Andes virus (ANDV) is a rodent-borne zoonotic orthohantavirus endemic in South America that causes hantavirus pulmonary syndrome in humans, with up to a 40% case fatality rate. We developed ANDV mRNA vaccines based on the M segment of the viral genome that codes for glycoproteins Gn and Gc in a single open reading frame of glycoprotein precursor (GPC). We generated RNAs either with regular uridine (U-mRNA) or N1-methylpseudouridine (m1Ψ-mRNA). Mice immunized by either ANDV U-mRNA or m1Ψ-mRNA developed similar germinal center responses in lymph nodes. Single cell RNA and BCR sequencing of germinal center B cells from vaccinated mice demonstrated similar levels of activation, except an additional cluster of cells exhibiting strong interferon response that was present in animals vaccinated with U-mRNA but not m1Ψ-mRNA. Furthermore, similar immunoglobulin class-switching and somatic hypermutations were observed for the two vaccines. Golden Syrian hamsters were immunized intramuscularly with 2 doses of the vaccines on days 0 and 21. The titers of Gn/Gc-binding antibodies were moderately greater for U-mRNA construct than for m1Ψ-mRNA construct, however, the titers of ANDV-neutralizing antibodies were equivalent. Vaccinated animals were challenged with a lethal dose of ANDV at 21 days after the boost, along with the naïve control group. All control animals succumbed to infection whereas all vaccinated animals survived without any detectable disease or viral load. The data demonstrate the development of effective vaccines against ANDV and the lack of a significant effect of m1Ψ mRNA modification on immunogenicity and protection in the hamster model. Overall design: Ten-week-old BALB/c mice, four per group, were immunized intramuscularly with one dose of 25 µg of either U-mRNA or m1Ψ-mRNA formulated with LNP. Twelve days after immunization animals were euthanized, and draining inguinal and popliteal lymph nodes harvested and pooled for each mouse for cell sorting. Germinal center B cells were sorted and sequenced to generate single cell 5' gene expression and V(D)J libraries.","andes virus, mrna, m segment, intramuscular, vdj",GSE240062,1002186,,NA,12,Day,,Yes,No,,mRNA,virus,Andes virus,M segment,NA,NA,Lymph node (GC B cells),?,scRNA//VDJseq,Mus musculus
NA,"Mice were vaccinated with AP205 bacteriophage based VLP vector-plaform or PBS. Transcriptomes of dendritic cells 6 hours after vaccination were used to build a model predictive of the vector-platform efficacy measured as the antigen-specific response 5, 7 and 10 days after the vaccination Overall design: Groups of 7-week-old female C57BL/6 mice (Charles River, France and Germany) were immunized either intravenously or sub-cutaneously with a controlled quantity of vector particles as defined in CompuVac assay protocols (www.compuvac.eu). Control mice were injected with 100 µL of phosphate buffered saline solution (PBS).","vlp, ap205 bacteriophage,",GSE66930,278649,,NA,5//7//10,Day,,No,No,,VLP,virus,AP205 Bacteriophage,Whole,NA,NA,NA,Intravenous//Subcutaneous,Microarray,Mus musculus
Single cell analysis uncovers novel populations of CD4+ T cells associated with antifungal vaccine efficacy,"Memory T cells underpin vaccine-induced immunity but are not yet fully understood. To distinguish features of memory cells that confer protective immunity, we used single cell transcriptome analysis to compare antigen-specific CD4+ T cells recalled to lungs of mice that received a protective or nonprotective subunit vaccine followed by challenge with a fungal pathogen. We unexpectedly found populations specific to protection that expressed a strong type I interferon response signature, whose distinctive transcriptional signature appeared unconventionally dependent on IFNγ receptor. We also detected a unique population enriched in protection that highly expressed genes for chemokine CCL5 and natural killer cell marker NKG7. Lastly, we detected differences in TCR gene use and in Th1- and Th17-skewed responses after protective and nonprotective vaccine, respectively, reflecting heterogeneous Ifng- and Il17a-expressing populations. Our findings highlight key features of transcriptionally diverse and distinctive antigen-specific T cells associated with protective vaccine-induced immunity. Overall design: Mice were inoculated either intranasally (IN) or subcutaneously (SC) with Blastomyces dermatitidis endoglucanase-2 (Bl-Eng2) six weeks prior to pathogen challenge. Tetramer-positive CD4+ T cells were FACS sorted and sequenced 3 days after the pulmonary challenge with B. dermatitidis","antifungal, intranasal, subcutaneous, blastomyces dermatitidis, challenge",GSE198466,815340,,NA,6//3,Week//Day,,Yes,No,,Subunit ,fungi,Blastomyces dermatitidis,Bl-Eng2,NA,?,TCD4+,Intranasal//Subcutaneous,scRNAseq,Mus musculus
Characterizing the innate and adaptive responses of immunized mice to Bordetella pertussis infection using in vivo imaging and transcriptomics analyses,"Total transcriptome analysis of naive or vaccinated murine lungs, post-challenge with Bordatella pertussis. Mice were immunized with PBS, whole cell pertussis vaccine, acellular pertussis vaccine, and RTX (adenylate cyclase toxoid) vaccine. The mice were then infected with B. pertussis and at 1 or 6/9 days post-challenge total lung RNA was purified for RNA-seq analysis.","bordatella pertussis, whole, acellular, rtx, lungs",NA,394758,,NA,NA,,,Yes,Yes,MSigDB,Inactivated,bacteria,Bordatella pertussis,Whole,NA,NA,Lungs,?,Bulk,Mus musculus
RNA-sequencing of NALT from mouse after intranasal immunization with B. abortus rMDH loaded chitosan nanoparticles (CNs),"Brucellosis is a serious zoonotic disease caused by the genus Brucella, a group of Gram-negative and facultative intracellular bacteria. At present, although live attenuated vaccine such as Rev.1, S19 and RB51 have been widely used for bovine brucellosis, these vaccines have some drawbacks, and safe and effective alternatives have been demanded. Previously, our group showed that several Brucella proteins malate dehydrogenase (rMDH) are effective in eliciting IgG responses in murine model following intraperitoneal injection. The Brucella infections are usually transmitted through mucosal membrane via oral or aerosol exposure. Therefore, induction of mucosal immunity is promising contribute in development of vaccine. In the study, rMDH was loaded with chitosan nanoparticles (CNs) which is mucoadhesive, biocompatible, nontoxic, and immune-enhancing adjuvant to induce both systemic and mucosal immunity. Then, in order to evaluate immunogenicity of the antigen in BALB/C mouse, total RNA from nasal-associated lymphoid tissues at 1 h, 6 h, 12 h after intranasal immunization was analyzed using RNA-seq. Overall design: mRNA profiles of NALT from mice at 1 hour, 6 hours, and 12 hours after immunization with CNs - rMDH. PBS *h = NALT from mice at *hours after immunization with PBS as control 1 CNs *h = NALT from mice at *hours after immunization with chitosan nanoparticles (CNs) only as control 2 TF *h = NALT from mice at *hours after immunization with rTrigger Factor (recombinant protein vector) loaded CNs as control 3 MDH *h =NALT from mice at *hours after immunization with rMDH loaded CNs as test group.","bovine crucellosis, bacteria, rMDH protein",GSE125765,517469,,NA,1//5//12,Hour,,No,No,,Subunit,bacteria,Bovine crucellosis,rMDH protein,NA,NA,NA,Intranasal,Bulk,Mus musculus
Transcriptome analysis of Brucella abortus S19∆per (a perosaminesynthetase gene mutant of strain S19)  immunized mice spleen revealed activation of MHC-I and MHC-II pathways,"Goal: High-throughput sequencing-by-synthesis (Illumina) RNA sequencing technology was carried out with an aim to gain deeper understanding of immune host protective mechanisms. Here, RNA-seq was applied to understand the differential gene expression profile of mice spleen following immunization with Brucella abortus S19∆per mutant (perosamine synthetase gene mutant of Brucella abortus S19) in comparison to mock immunized mice spleen (PBS inoculated). Methods: RNA-seq data of 15th day post immunized mice spleen (with Brucella abortus S19∆per) and PBS control mice were generated by deep sequencing ( in duplicate) using IlluminaNextSeq 500 . The sequence reads that passed quality filters were analyzed for transcript abundance using RSEM package (RNA-Seq by Expectation Maximization) (Li and Dewey, 2011). Breifly, the RSEM package generated a reference sequence based on given mouse transcript annotations (Mus_musculus.GrCm38.83.chr.gtf.gz). The Bowtie allignmet tool available within the package was used to calculate expected counts (number of mapped reads) using quality trimmed reads and reference sequence.   Finally, the expected counts estimated by RSEM were fed into different DE package tools, such as DESeq2 (Love et al., 2014), edgeR (Robinson et al., 2010) and EBSeq (Leng et al., 2013) in order to identify differentially expressed genes across spleen samples (B. abortus S19∆per versus (vs) PBS control. Functional annotation of  differently expressed genes were carried out using g:Profiler (Reimandet al., 2016; http://biit.cs.ut.ee/gprofiler/). Results:  A mean of 37.58 million processed reads (range: 30.51 million to 51.79 million reads per individual RNA-seq library) were generated during the experiment. The expected counts generated by the RSEM package followed by differential analysis calculation using different DE packages identified a total of 1917 differentially expressed genes (DEGs), of which 968 and 949 genes were up- and down-regulated respectively. Functional annotation revealed 545 significantly enriched genes to be associated with immune system processes within the total 1917 differentially expressed genes. Further analysis revealed 21 genes showing significant expression were also in MHC-I and MHC-II antigen processing and presentation pathway during S19∆per immunization. Conclusions:The RNA-seq data revealed the coordinated up-regulation of MHC-I and MHC-II processing pathways providing insights into the molecular mechanism of immune protection conferred by B. abortus S19∆per in mice at day 15 post immunization and might aid in the development of new attenuated vaccine strains with improved efficacy. Overall design: Spleen RNA profiles of 15 day post immunized mice (Brucella abortus S19∆per) and control (not immunized) were generated by deep sequencing, in duplicate, using IlluminaNextSeq 500","brucella abortus, spleen",GSE121040,495392,,NA,NA,,,Yes,No,,Attenuated,bacteria,Brucella abortus,Brucella abortus S19∆per mutan,NA,NA,Spleen,?,Bulk,Mus musculus
Transcriptional profiling of spleens from mice challenged with Brucella melitensis with or without prior vaccination.,"We isolated RNA from whole spleens of mice challenged with B. melitensis, some of which were vaccinated prior to infection. Overall design: Comparative gene expression profiling analysis spleens from C57BL/6J mice after two weeks of challenge with Brucella melitensis.  Mice also received PBS or the S19 vaccine four weeks prior to challenge.","brucella melitensis, bacterium,",GSE254248,1069075,,NA,2,Week,,Partially,No,,Attenuated,bacteria,Brucella melitensis,Whole,NA,No,Spleen,?,Bulk,Mus musculus
NA,"Brucellosis is one of the most common zoonotic epidemics worldwide. Vaccination against Brucellosis is an important control strategy to prevent the disease in many high-prevalence regions. At present, Brucella vaccine strain S2 is the most widely used vaccine in China. In this study, to uncover the related mechanisms underlie virulence attenuation of S2, we characterized the transcriptional profile of S2 and 1330 infected macrophages by transcriptome analysis. The results revealed that expressions of 440 genes were significantly different between macrophages infected by 1330 and S2. Data analysis showed that in the gene ontology term, the different expressed genes involved in innate immune response, phagoctyosis, recognition, and inflammatory response were significantly enriched. Pathway enrichment analysis indicated that the genes involved in transcriptional misregulation in cancer, staphylococcus aureus infection pathways and NF-kappa B signaling pathway were significantly affected. To reveal the molecular mechanisms related to different expression profiles of infected macrophages, the transcription levels of the different genes between the two bacterial genomes were also detected. In total, the transcription of 29 different genes was significantly changed in either culture medium or infected microphages. The results of current study can be conducive to the promotion of better understanding of the related mechanisms underlie virulence attenuation of S2 and interactions between host cells and brucella strains. Overall design: Two groups were analyzed, and each group contained 3  replicates.","brucella suis,",GSE105906,415479,,NA,NA,,,Partially,No,,Attenuated,bacteria,Brucella suis,Brucella suis vaccine strain S2,NA,NA,NA,?,Bulk,Mus musculus
Splenic memory CD8 T cell signature of enhanced responsiveness to vaccine boost,"We addressed the question of primed CD8 T cell responsiveness to boost in a Balb/c mouse model of vaccination against gag of HIV-1, namely intramuscular (i.m.) prime with the Chimpanzee adenovector ChAd3-gag and i.m. boost with Modified Virus Ankara MVA-gag. In this setting, boost was more effective at day(d)100 than at d30 post-prime, as evaluated by multi-lymphoid organ assessment of gag-specific CD8 T cell frequency, CD62L-phenotype and in vivo killing activity at d45 post-boost. RNA-sequencing was used to compare memory signature of gag-specific spleen CD8 T cells at d100 post-prime with those at d30. Overall design: Bulk RNA was sequenced from sorted spleen gag-specific CD8 T cells (average 93% pure Tetr-gag+Pent-gag+CD3+CD8+ cells) at d30 and d100 post-prime, in 4 independent experiments with a total of 7 samples (A_d30; B_d30; C_d30; D_d30; B_d100; C_d100.1; C_d100.2).","spleen, HIV-1, intramuscular, ChAd, adenovirus, MVA ankara, prime boost, bulk RNAseq",GSE207389,854971,854971_chad,NA,?,,,NA,No,,Viral vector,virus,ChAd,None,ChAd,No,Spleen,Intramuscular,Bulk,Mus musculus
